date,universe,category,weighting_method,asset_id,ticker,constituent_status,units_held,price,price_source,position_value,portfolio_weight,entry_date,exit_date,terminal_proceeds,realized_pl,rebalance_trade_value
2025-05-31,full_market,all,equal_weight,rally-rlexpepsi,RLEXPEPSI,included_in_index,0.3885456041064604,11.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2019-11-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-smurf,SMURF,included_in_index,0.25141186148065087,17.0,asof_observed_or_offering,4.274001645171065,0.043478260869565216,2019-11-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-snoopy,SNOOPY,included_in_index,0.2849334430114043,15.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-04-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-tornek,TORNEK,included_in_index,1.378710208119698,3.1,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-11-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-03tache,03TACHE,included_in_index,1.0553090481903864,4.05,asof_observed_or_offering,4.274001645171065,0.043478260869565216,2020-11-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-14drc,14DRC,included_in_index,0.07498248500300113,57.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-09-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-karuizawa,KARUIZAWA,included_in_index,1.139733772045617,3.75,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2021-11-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-macallan1,MACALLAN1,included_in_index,0.19879077419400298,21.5,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2021-11-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-macallan2,MACALLAN2,included_in_index,0.573691495996116,7.45,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2022-02-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-macallan3,MACALLAN3,included_in_index,0.6784129595509626,6.3,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2022-07-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-megalodon,MEGALODON,included_in_index,0.755408433910164,5.6,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2021-10-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-mosasaur,MOSASAUR,included_in_index,1.0575718074742295,4.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2021-02-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-birkinbor,BIRKINBOR,included_in_index,0.2115143614948459,20.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-02-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-birkintan,BIRKINTAN,included_in_index,0.21975518077386588,19.25,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-06-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-himalaya,HIMALAYA,included_in_index,0.07833865240549848,54.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-05-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-soblack,SOBLACK,included_in_index,0.09614289158856631,44.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-09-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-79stella,79STELLA,included_in_index,1.0575718074742295,4.0,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-10-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-93daytona,93DAYTONA,included_in_index,0.23899927852524963,17.7,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-09-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-bondwatch,BONDWATCH,included_in_index,1.9228578317713263,2.2,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2022-01-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-dimaggio2,DIMAGGIO2,included_in_index,0.5603029443572077,7.55,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2020-11-01,,0.0,0.0,
2025-06-30,full_market,all,equal_weight,rally-dominos,DOMINOS,included_in_index,0.8294680842935134,5.1,asof_observed_or_offering,4.230287229896918,0.04347826086956523,2021-01-01,,0.0,0.0,
