date,category,category_market_cap,active_asset_count,direct_observation_market_cap,carried_forward_market_cap,price_effect,new_issuance,removed_capital,pl_contribution,total_market_cap,category_weight,prior_category_market_cap,period_return,return_index,frequency,calculated_at,calculation_version
2021-03-02,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1923600.0,0.16375545851528384,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-02,handbags,651500.0,8,80000.0,571500.0,-20000.0,0.0,0.0,-20000.0,1923600.0,0.33868787689748386,671500.0,-0.02978406552494417,91.55405006553555,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-02,watches,629500.0,10,0.0,629500.0,0.0,0.0,0.0,0.0,1923600.0,0.3272509877313371,629500.0,0.0,130.18563886314686,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-02,wine and whiskey,327600.0,9,0.0,327600.0,0.0,0.0,0.0,0.0,1923600.0,0.1703056768558952,327600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-04,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1919600.0,0.16409668680975203,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-04,handbags,651500.0,8,0.0,651500.0,0.0,0.0,0.0,0.0,1919600.0,0.33939362367159825,651500.0,0.0,91.55405006553555,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-04,watches,629500.0,10,0.0,629500.0,0.0,0.0,0.0,0.0,1919600.0,0.32793290268806,629500.0,0.0,130.18563886314686,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-04,wine and whiskey,323600.0,9,50000.0,273600.0,-4000.0,0.0,0.0,-4000.0,1919600.0,0.16857678683058971,327600.0,-0.012210012210012167,98.77899877899878,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-11,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1906800.0,0.16519823788546256,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-11,handbags,651500.0,8,0.0,651500.0,0.0,0.0,0.0,0.0,1906800.0,0.341671911055171,651500.0,0.0,91.55405006553555,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-11,watches,616700.0,10,33200.0,583500.0,-12799.999999999996,0.0,0.0,-12799.999999999996,1906800.0,0.3234214390602056,629500.0,-0.020333598093725147,127.53849640492881,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-11,wine and whiskey,323600.0,9,0.0,323600.0,0.0,0.0,0.0,0.0,1906800.0,0.1697084119991609,323600.0,0.0,98.77899877899878,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-16,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1885300.0,0.1670821619901342,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-16,handbags,630000.0,8,35000.0,595000.0,-21500.0,0.0,0.0,-21500.0,1885300.0,0.3341643239802684,651500.0,-0.03300076745970837,88.53269614932832,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-16,watches,616700.0,10,0.0,616700.0,0.0,0.0,0.0,0.0,1885300.0,0.32710974380735164,616700.0,0.0,127.53849640492881,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-16,wine and whiskey,323600.0,9,0.0,323600.0,0.0,0.0,0.0,0.0,1885300.0,0.1716437702222458,323600.0,0.0,98.77899877899878,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-18,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1882300.0,0.16734845667534398,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-18,handbags,630000.0,8,0.0,630000.0,0.0,0.0,0.0,0.0,1882300.0,0.33469691335068796,630000.0,0.0,88.53269614932832,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-18,watches,613700.0,10,25000.0,588700.0,-3000.0,0.0,0.0,-3000.0,1882300.0,0.32603729479891624,616700.0,-0.004864601913410094,126.91807239128394,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-18,wine and whiskey,323600.0,9,0.0,323600.0,0.0,0.0,0.0,0.0,1882300.0,0.1719173351750518,323600.0,0.0,98.77899877899878,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-23,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1874300.0,0.1680627434242117,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-23,handbags,630000.0,8,0.0,630000.0,0.0,0.0,0.0,0.0,1874300.0,0.3361254868484234,630000.0,0.0,88.53269614932832,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-23,watches,605700.0,10,20500.0,585200.0,-8000.0,0.0,0.0,-8000.0,1874300.0,0.3231606466414128,613700.0,-0.01303568518820275,125.26360835489766,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-23,wine and whiskey,323600.0,9,0.0,323600.0,0.0,0.0,0.0,0.0,1874300.0,0.1726511230859521,323600.0,0.0,98.77899877899878,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-01,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1931300.0,0.16310257339615802,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-01,handbags,630000.0,8,0.0,630000.0,0.0,0.0,0.0,0.0,1931300.0,0.32620514679231605,630000.0,0.0,88.53269614932832,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-01,watches,635700.0,11,0.0,605700.0,0.0,30000.0,0.0,0.0,1931300.0,0.32915652669186557,605700.0,0.0,125.26360835489766,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-01,wine and whiskey,350600.0,10,0.0,323600.0,0.0,27000.0,0.0,0.0,1931300.0,0.18153575311966033,323600.0,0.0,98.77899877899878,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-15,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1880250.0,0.1675309134423614,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-15,handbags,610000.0,8,40000.0,570000.0,-20000.0,0.0,0.0,-20000.0,1880250.0,0.324424943491557,630000.0,-0.031746031746031744,85.72213436680995,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-15,watches,604650.0,11,37950.0,566700.0,-31050.0,0.0,0.0,-31050.0,1880250.0,0.32157957718388513,635700.0,-0.04884379424256724,119.1452584423295,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-15,wine and whiskey,350600.0,10,0.0,350600.0,0.0,0.0,0.0,0.0,1880250.0,0.1864645658821965,350600.0,0.0,98.77899877899878,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-20,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1849050.0,0.17035775127768313,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-20,handbags,610000.0,8,0.0,610000.0,0.0,0.0,0.0,0.0,1849050.0,0.32989913739487847,610000.0,0.0,85.72213436680995,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-04-20,watches,604650.0,11,0.0,604650.0,0.0,0.0,0.0,0.0,1849050.0,0.32700575971444795,604650.0,0.0,119.1452584423295,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
